127.0.0.1, 2013-10-06 21:01:43, GET, /, HTTP/1.1, 303, 0.000852
127.0.0.1, 2013-10-06 21:01:46, GET, /welcome/default/index, HTTP/1.1, 200, 1.855041
127.0.0.1, 2013-10-06 21:01:46, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000438
127.0.0.1, 2013-10-06 21:01:46, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000837
127.0.0.1, 2013-10-06 21:01:46, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003717
127.0.0.1, 2013-10-06 21:01:46, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000777
127.0.0.1, 2013-10-06 21:01:46, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000501
127.0.0.1, 2013-10-06 21:01:46, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001274
127.0.0.1, 2013-10-06 21:01:46, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003113
127.0.0.1, 2013-10-06 21:01:46, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001422
127.0.0.1, 2013-10-06 21:01:46, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.008523
127.0.0.1, 2013-10-06 21:01:46, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001297
127.0.0.1, 2013-10-06 21:01:46, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001061
127.0.0.1, 2013-10-06 21:01:46, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001032
127.0.0.1, 2013-10-06 21:01:53, GET, /swaraa/default/index, HTTP/1.1, 200, 0.424716
127.0.0.1, 2013-10-06 21:01:57, GET, /swaraa/default/user/login, HTTP/1.1, 200, 0.129377
127.0.0.1, 2013-10-06 21:02:07, POST, /swaraa/default/user/login, HTTP/1.1, 303, 0.388803
127.0.0.1, 2013-10-06 21:02:07, GET, /swaraa/default/homepage, HTTP/1.1, 200, 0.094596
127.0.0.1, 2013-10-06 21:02:07, GET, /swaraa/default/css/bootstrap.min.css, HTTP/1.1, 404, 0.215523
127.0.0.1, 2013-10-06 21:02:07, GET, /swaraa/default/download/song.Audio_File.85461335b1c01249.446f6d6e752058202d20496e6372656469626c6520496e64696120284f63742031342c20323031302c2052616d6179616e612043616665292e6d7033.mp3, HTTP/1.1, 206, 0.083037
127.0.0.1, 2013-10-06 21:02:07, GET, /swaraa/default/download/song.Audio_File.947f4d245fbc5647.53502e2042616c6173756272616d616e69616d2c532e204a616e616b69202d205661616c69626174687468696e204b61617468616c756b6b752e6d7033.mp3, HTTP/1.1, 206, 0.119287
127.0.0.1, 2013-10-06 21:02:08, GET, /swaraa/default/download/song.Audio_File.9a14df78a86ab4bc.416e6b6974205061726f6c6b6172202d2048756d6520736168656c20686f2067617969206d616e6a696c656e2e6d7033.mp3, HTTP/1.1, 206, 0.291621
127.0.0.1, 2013-10-06 21:02:08, GET, /swaraa/default/download/song.Audio_File.947f4d245fbc5647.53502e2042616c6173756272616d616e69616d2c532e204a616e616b69202d205661616c69626174687468696e204b61617468616c756b6b752e6d7033.mp3, HTTP/1.1, 206, 0.265340
127.0.0.1, 2013-10-06 21:02:09, GET, /swaraa/default/download/song.Audio_File.9a14df78a86ab4bc.416e6b6974205061726f6c6b6172202d2048756d6520736168656c20686f2067617969206d616e6a696c656e2e6d7033.mp3, HTTP/1.1, 206, 1.036544
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/default/homepage, HTTP/1.1, 200, 0.608486
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.003685
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/css/calendar.css, HTTP/1.1, 200, 0.001396
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/js/web2py.js, HTTP/1.1, 200, 0.001313
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/js/jquery.js, HTTP/1.1, 200, 0.002081
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001018
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/css/web2py.css, HTTP/1.1, 200, 0.001719
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000660
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000493
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002115
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000373
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/js/share.js, HTTP/1.1, 200, 0.000330
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/js/calendar.js, HTTP/1.1, 200, 0.000464
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/default/css/bootstrap.min.css, HTTP/1.1, 404, 0.231117
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000439
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/images/twitter.png, HTTP/1.1, 200, 0.000514
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/images/facebook.png, HTTP/1.1, 200, 0.000471
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/static/images/gplus-32.png, HTTP/1.1, 200, 0.000328
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/default/download/song.Audio_File.947f4d245fbc5647.53502e2042616c6173756272616d616e69616d2c532e204a616e616b69202d205661616c69626174687468696e204b61617468616c756b6b752e6d7033.mp3, HTTP/1.1, 206, 0.083517
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/default/download/song.Audio_File.9a14df78a86ab4bc.416e6b6974205061726f6c6b6172202d2048756d6520736168656c20686f2067617969206d616e6a696c656e2e6d7033.mp3, HTTP/1.1, 206, 0.147358
127.0.0.1, 2013-10-06 21:05:18, GET, /swaraa/default/download/song.Audio_File.85461335b1c01249.446f6d6e752058202d20496e6372656469626c6520496e64696120284f63742031342c20323031302c2052616d6179616e612043616665292e6d7033.mp3, HTTP/1.1, 206, 0.197763
127.0.0.1, 2013-10-06 21:05:22, POST, /swaraa/default/homepage.html, HTTP/1.1, 500, 0.275622
127.0.0.1, 2013-10-06 21:05:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000239
127.0.0.1, 2013-10-06 21:05:26, GET, /admin/default/ticket/swaraa/127.0.0.1.2013-10-06.21-05-22.b39064d0-d86f-4fe0-b339-7596c147a12b, HTTP/1.1, 303, 1.235403
127.0.0.1, 2013-10-06 21:05:26, GET, /admin/default/index, HTTP/1.1, 200, 0.102123
127.0.0.1, 2013-10-06 21:05:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000361
127.0.0.1, 2013-10-06 21:05:30, POST, /admin/default/index, HTTP/1.1, 303, 0.046337
127.0.0.1, 2013-10-06 21:05:30, GET, /admin/default/ticket/swaraa/127.0.0.1.2013-10-06.21-05-22.b39064d0-d86f-4fe0-b339-7596c147a12b, HTTP/1.1, 200, 0.143246
127.0.0.1, 2013-10-06 21:05:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000358
127.0.0.1, 2013-10-06 21:05:59, GET, /admin/default/index, HTTP/1.1, 303, 0.009396
127.0.0.1, 2013-10-06 21:05:59, GET, /admin/default/site, HTTP/1.1, 200, 0.057001
127.0.0.1, 2013-10-06 21:05:59, POST, /admin/default/check_version, HTTP/1.1, 200, 0.412883
127.0.0.1, 2013-10-06 21:05:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000256
127.0.0.1, 2013-10-06 21:05:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000232
127.0.0.1, 2013-10-06 21:06:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000228
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/default/index, HTTP/1.1, 303, 0.052338
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/default/homepage, HTTP/1.1, 200, 0.075561
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000930
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/static/css/calendar.css, HTTP/1.1, 304, 0.000383
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/static/js/calendar.js, HTTP/1.1, 304, 0.000317
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/static/js/web2py.js, HTTP/1.1, 304, 0.000371
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/static/js/jquery.js, HTTP/1.1, 304, 0.001853
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000413
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000420
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000382
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/static/js/share.js, HTTP/1.1, 304, 0.001782
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.003130
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.002872
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/static/css/web2py.css, HTTP/1.1, 304, 0.002082
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/default/css/bootstrap.min.css, HTTP/1.1, 404, 0.038325
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/static/images/gplus-32.png, HTTP/1.1, 304, 0.000735
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/static/images/twitter.png, HTTP/1.1, 304, 0.000282
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/static/images/facebook.png, HTTP/1.1, 304, 0.001127
127.0.0.1, 2013-10-06 21:06:01, GET, /swaraa/default/download/song.Audio_File.85461335b1c01249.446f6d6e752058202d20496e6372656469626c6520496e64696120284f63742031342c20323031302c2052616d6179616e612043616665292e6d7033.mp3, HTTP/1.1, 206, 0.069145
127.0.0.1, 2013-10-06 21:06:08, GET, /admin/default/design/swaraa, HTTP/1.1, 200, 0.142703
127.0.0.1, 2013-10-06 21:06:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000349
127.0.0.1, 2013-10-06 21:06:10, GET, /swaraa/appadmin/index, HTTP/1.1, 200, 0.090146
127.0.0.1, 2013-10-06 21:06:12, GET, /swaraa/appadmin/select/db, HTTP/1.1, 200, 0.157701
127.0.0.1, 2013-10-06 21:06:24, POST, /swaraa/appadmin/select/db, HTTP/1.1, 200, 0.622848
127.0.0.1, 2013-10-06 21:06:26, GET, /swaraa/appadmin/select/db, HTTP/1.1, 200, 0.064527
127.0.0.1, 2013-10-06 21:06:28, GET, /swaraa/appadmin/index, HTTP/1.1, 200, 0.056384
